Time,Day_of_week,Weather,Vehicle_type,Average_speed,Driving_Experience,Type_of_Collision,Area,Road_Alignment,Traffic_Density,Road_Condition,Temperature (°C),Accident_severity
21:47,Tuesday,Clear,Bus,122.04,Intermediate,Rear-end,Urban,Curve,Low,Muddy,37.28,Fatal Injury
22:25,Friday,Foggy,Truck,127.24,Novice,Pedestrian,Highway,Straight,Medium,Muddy,11.05,Fatal Injury
16:21,Friday,Clear,Car,64.85,Intermediate,Head-on,Rural,Junction,High,Wet,36.99,Slight Injury
06:25,Saturday,Snowy,Truck,113.62,Novice,Side,Highway,Straight,Medium,Wet,-2.96,Fatal Injury
22:23,Friday,Windy,Auto,102.5,Novice,Vehicle overturn,Rural,Junction,High,Muddy,37.67,Fatal Injury
23:27,Friday,Clear,Bus,121.88,Experienced,Vehicle overturn,Highway,Straight,High,Wet,25.07,Fatal Injury
13:36,Monday,Rainy,Bus,85.94,Novice,Head-on,Urban,Curve,Low,Dry,17.52,Fatal Injury
02:47,Saturday,Snowy,Bus,60.83,Intermediate,Rear-end,Rural,Junction,Medium,Dry,7.75,Slight Injury
03:12,Sunday,Foggy,Car,21.99,Experienced,Head-on,Rural,Straight,Medium,Muddy,19.94,Slight Injury
19:05,Thursday,Snowy,Motorcycle,133.07,Intermediate,Vehicle overturn,Highway,Curve,High,Muddy,5.07,Fatal Injury
06:35,Monday,Clear,Truck,110.5,Novice,Rear-end,Highway,Straight,High,Wet,25.13,Fatal Injury
21:57,Monday,Rainy,Motorcycle,62.3,Novice,Head-on,Urban,Curve,Low,Muddy,13.23,Serious Injury
02:45,Monday,Windy,Car,60.56,Intermediate,Rear-end,Rural,Curve,High,Wet,34.62,Slight Injury
09:59,Monday,Rainy,Bicycle,85.54,Novice,Rear-end,Rural,Junction,Medium,Muddy,19.55,Serious Injury
02:44,Monday,Cloudy,Auto,65.29,Experienced,Head-on,Highway,Straight,Medium,Muddy,22.38,Slight Injury
09:43,Friday,Cloudy,Bus,63.53,Intermediate,Rear-end,Highway,Curve,Medium,Muddy,17.26,Serious Injury
06:19,Sunday,Windy,Auto,98.21,Novice,Rear-end,Highway,Curve,High,Dry,37.11,Serious Injury
04:14,Friday,Rainy,Bus,134.39,Intermediate,Vehicle overturn,Urban,Junction,Medium,Muddy,13.33,Fatal Injury
18:16,Thursday,Clear,Bicycle,61.41,Intermediate,Pedestrian,Highway,Straight,High,Muddy,28.77,Serious Injury
15:16,Wednesday,Windy,Auto,112.98,Intermediate,Rear-end,Highway,Curve,Low,Dry,39.53,Fatal Injury
06:46,Sunday,Rainy,Auto,108.66,Intermediate,Head-on,Highway,Straight,Low,Wet,15.69,Fatal Injury
11:23,Thursday,Snowy,Truck,110.75,Novice,Rear-end,Rural,Curve,Medium,Muddy,-1.1,Fatal Injury
13:37,Monday,Rainy,Auto,70.1,Novice,Pedestrian,Urban,Curve,Medium,Wet,14.1,Serious Injury
22:28,Sunday,Snowy,Truck,55.44,Novice,Pedestrian,Rural,Straight,High,Muddy,7.22,Slight Injury
04:44,Wednesday,Snowy,Car,77.03,Experienced,Rear-end,Highway,Curve,Low,Muddy,3.99,Serious Injury
05:30,Sunday,Foggy,Bicycle,35.14,Experienced,Head-on,Urban,Curve,Medium,Muddy,16.92,Slight Injury
15:18,Tuesday,Rainy,Auto,69.89,Experienced,Head-on,Rural,Junction,Low,Muddy,12.04,Slight Injury
03:19,Friday,Rainy,Motorcycle,136.2,Intermediate,Pedestrian,Urban,Junction,High,Wet,13.78,Fatal Injury
20:24,Wednesday,Clear,Motorcycle,49.62,Novice,Pedestrian,Rural,Straight,High,Dry,37.47,Slight Injury
16:25,Saturday,Cloudy,Bus,28.55,Experienced,Head-on,Urban,Junction,Medium,Muddy,19.75,Slight Injury
02:56,Thursday,Clear,Car,49.98,Novice,Head-on,Urban,Curve,Medium,Dry,29.84,Slight Injury
02:27,Friday,Snowy,Bus,27.95,Experienced,Rear-end,Rural,Straight,Medium,Wet,-3.71,Slight Injury
21:04,Friday,Clear,Bus,90.14,Novice,Side,Highway,Straight,Medium,Dry,36.98,Fatal Injury
09:26,Monday,Clear,Bus,20.12,Novice,Rear-end,Urban,Junction,Medium,Wet,30.73,Slight Injury
22:23,Thursday,Windy,Bicycle,27.01,Intermediate,Head-on,Rural,Curve,Low,Wet,31.08,Slight Injury
13:28,Tuesday,Rainy,Bus,119.52,Intermediate,Vehicle overturn,Urban,Straight,Medium,Wet,14.56,Fatal Injury
05:34,Friday,Foggy,Truck,137.05,Experienced,Pedestrian,Rural,Junction,Medium,Wet,16.75,Fatal Injury
12:33,Sunday,Foggy,Truck,116.87,Intermediate,Side,Highway,Junction,Low,Muddy,16.9,Fatal Injury
22:25,Thursday,Windy,Bus,87.54,Experienced,Vehicle overturn,Urban,Junction,Medium,Wet,26.04,Serious Injury
11:47,Tuesday,Cloudy,Bus,127.09,Intermediate,Rear-end,Highway,Junction,Medium,Dry,16.4,Fatal Injury
14:49,Saturday,Foggy,Auto,66.43,Intermediate,Rear-end,Highway,Junction,Medium,Dry,10.62,Serious Injury
22:53,Sunday,Clear,Auto,45.93,Novice,Rear-end,Urban,Straight,Medium,Dry,33.55,Slight Injury
21:34,Tuesday,Windy,Bicycle,91.7,Intermediate,Side,Urban,Straight,Low,Dry,25.03,Fatal Injury
11:04,Sunday,Foggy,Motorcycle,85.47,Novice,Rear-end,Rural,Straight,Medium,Muddy,16.48,Serious Injury
05:40,Monday,Windy,Auto,111.39,Novice,Vehicle overturn,Rural,Straight,Medium,Muddy,27.19,Fatal Injury
17:36,Friday,Snowy,Auto,50.54,Experienced,Head-on,Highway,Junction,High,Muddy,0.68,Slight Injury
01:02,Tuesday,Cloudy,Bus,68.1,Experienced,Vehicle overturn,Rural,Curve,Low,Dry,19.51,Slight Injury
13:47,Tuesday,Clear,Truck,86.52,Novice,Side,Urban,Curve,Low,Dry,35.86,Serious Injury
08:14,Sunday,Foggy,Car,54.14,Novice,Side,Highway,Straight,Low,Muddy,11.84,Slight Injury
08:03,Sunday,Rainy,Truck,35.52,Experienced,Vehicle overturn,Highway,Junction,High,Wet,12.17,Slight Injury
13:18,Saturday,Rainy,Car,83.73,Experienced,Rear-end,Rural,Curve,Medium,Muddy,19.08,Fatal Injury
16:26,Tuesday,Clear,Car,62.41,Novice,Pedestrian,Rural,Straight,Medium,Dry,39.87,Serious Injury
00:02,Wednesday,Rainy,Bicycle,54.1,Experienced,Pedestrian,Rural,Junction,Medium,Muddy,14.86,Slight Injury
01:25,Thursday,Cloudy,Auto,97.29,Intermediate,Vehicle overturn,Urban,Curve,High,Muddy,27.83,Fatal Injury
06:44,Sunday,Cloudy,Truck,127.39,Intermediate,Vehicle overturn,Urban,Straight,Low,Muddy,20.13,Fatal Injury
10:58,Monday,Clear,Motorcycle,92.27,Experienced,Rear-end,Urban,Curve,High,Wet,36.2,Serious Injury
09:09,Monday,Snowy,Bus,22.0,Experienced,Pedestrian,Highway,Junction,Low,Wet,5.6,Slight Injury
20:24,Wednesday,Clear,Motorcycle,49.62,Novice,Pedestrian,Rural,Straight,High,Dry,37.47,Slight Injury
12:42,Thursday,Snowy,Motorcycle,55.84,Novice,Vehicle overturn,Rural,Junction,Low,Dry,2.73,Slight Injury
05:31,Sunday,Foggy,Car,98.31,Novice,Vehicle overturn,Highway,Straight,Medium,Wet,17.73,Fatal Injury
14:51,Tuesday,Windy,Truck,52.91,Experienced,Side,Urban,Curve,Medium,Wet,25.41,Slight Injury
04:07,Thursday,Foggy,Auto,23.79,Novice,Pedestrian,Urban,Straight,Low,Wet,10.97,Slight Injury
16:43,Wednesday,Snowy,Car,130.06,Experienced,Rear-end,Highway,Junction,Low,Dry,8.2,Fatal Injury
08:06,Friday,Foggy,Bus,65.8,Intermediate,Head-on,Urban,Straight,Low,Muddy,17.82,Slight Injury
00:27,Friday,Clear,Car,91.07,Intermediate,Pedestrian,Highway,Curve,Low,Dry,30.57,Serious Injury
07:15,Friday,Clear,Truck,75.69,Intermediate,Vehicle overturn,Rural,Curve,Low,Dry,36.88,Serious Injury
15:13,Friday,Foggy,Bus,125.32,Novice,Vehicle overturn,Rural,Straight,Medium,Wet,17.21,Fatal Injury
07:26,Wednesday,Foggy,Bus,103.3,Experienced,Head-on,Rural,Straight,High,Muddy,10.14,Fatal Injury
00:05,Tuesday,Snowy,Car,24.68,Intermediate,Head-on,Rural,Junction,High,Muddy,6.91,Slight Injury
03:11,Wednesday,Snowy,Truck,105.43,Novice,Pedestrian,Urban,Straight,Low,Muddy,3.59,Fatal Injury
07:07,Saturday,Cloudy,Car,82.12,Experienced,Vehicle overturn,Highway,Straight,Medium,Wet,25.39,Fatal Injury
01:55,Monday,Windy,Truck,86.01,Intermediate,Head-on,Urban,Straight,Medium,Wet,34.45,Serious Injury
19:38,Wednesday,Snowy,Bus,132.63,Novice,Head-on,Rural,Straight,Medium,Muddy,-4.94,Fatal Injury
21:56,Monday,Rainy,Motorcycle,40.42,Novice,Pedestrian,Urban,Straight,Medium,Muddy,17.75,Slight Injury
11:22,Saturday,Cloudy,Bicycle,67.38,Experienced,Pedestrian,Highway,Curve,Low,Wet,19.47,Serious Injury
09:31,Saturday,Clear,Truck,71.88,Experienced,Rear-end,Highway,Curve,Low,Muddy,38.74,Serious Injury
06:00,Monday,Clear,Car,61.98,Novice,Pedestrian,Rural,Straight,Medium,Wet,28.05,Slight Injury
12:22,Tuesday,Clear,Motorcycle,45.66,Intermediate,Head-on,Rural,Curve,High,Dry,37.81,Slight Injury
12:35,Friday,Snowy,Bicycle,89.94,Intermediate,Side,Rural,Straight,High,Wet,-3.02,Serious Injury
05:23,Wednesday,Cloudy,Bus,84.42,Experienced,Side,Rural,Straight,Medium,Muddy,22.42,Serious Injury
06:45,Tuesday,Windy,Bus,43.82,Intermediate,Side,Rural,Curve,High,Dry,25.79,Slight Injury
13:05,Thursday,Cloudy,Auto,70.27,Novice,Pedestrian,Urban,Junction,High,Dry,19.11,Serious Injury
10:18,Saturday,Rainy,Bus,34.75,Intermediate,Side,Highway,Junction,Medium,Dry,11.83,Slight Injury
02:31,Saturday,Windy,Motorcycle,65.95,Intermediate,Side,Urban,Straight,Low,Wet,30.25,Slight Injury
18:53,Monday,Cloudy,Car,49.44,Intermediate,Side,Urban,Straight,High,Muddy,19.12,Slight Injury
16:19,Tuesday,Cloudy,Bicycle,41.1,Experienced,Side,Rural,Straight,High,Dry,17.74,Slight Injury
04:34,Saturday,Clear,Bicycle,41.01,Intermediate,Head-on,Urban,Curve,High,Wet,27.89,Slight Injury
08:41,Thursday,Windy,Bicycle,68.67,Experienced,Vehicle overturn,Rural,Curve,High,Dry,29.64,Serious Injury
07:04,Friday,Snowy,Motorcycle,89.83,Novice,Pedestrian,Urban,Curve,High,Dry,1.18,Fatal Injury
04:12,Sunday,Snowy,Auto,89.73,Novice,Head-on,Urban,Curve,Medium,Wet,0.42,Serious Injury
00:21,Saturday,Foggy,Car,80.31,Novice,Vehicle overturn,Highway,Junction,Medium,Dry,17.56,Fatal Injury
07:40,Monday,Foggy,Bicycle,63.01,Novice,Head-on,Rural,Junction,High,Wet,12.6,Serious Injury
18:33,Sunday,Snowy,Truck,41.81,Experienced,Vehicle overturn,Urban,Junction,High,Muddy,-1.51,Slight Injury
02:17,Thursday,Cloudy,Car,95.53,Intermediate,Rear-end,Urban,Curve,Medium,Dry,28.88,Fatal Injury
15:52,Tuesday,Windy,Auto,61.45,Intermediate,Side,Highway,Straight,Medium,Wet,35.99,Slight Injury
16:37,Wednesday,Foggy,Bicycle,91.14,Intermediate,Side,Highway,Junction,High,Wet,12.01,Fatal Injury
00:49,Saturday,Clear,Motorcycle,76.73,Novice,Pedestrian,Rural,Curve,Low,Muddy,34.87,Serious Injury
16:47,Friday,Rainy,Motorcycle,84.34,Intermediate,Rear-end,Highway,Straight,Low,Dry,11.44,Fatal Injury
16:18,Saturday,Snowy,Truck,83.84,Intermediate,Side,Urban,Straight,Medium,Muddy,4.0,Serious Injury
23:43,Monday,Rainy,Truck,53.55,Intermediate,Rear-end,Highway,Straight,Low,Muddy,14.05,Slight Injury
09:10,Monday,Windy,Bus,86.36,Intermediate,Head-on,Highway,Curve,High,Dry,37.08,Fatal Injury
10:19,Thursday,Cloudy,Truck,47.9,Experienced,Vehicle overturn,Rural,Junction,Medium,Wet,24.49,Slight Injury
21:32,Friday,Snowy,Motorcycle,92.01,Experienced,Vehicle overturn,Highway,Junction,Low,Dry,-1.4,Serious Injury
02:05,Saturday,Foggy,Auto,86.75,Intermediate,Side,Rural,Junction,Low,Wet,11.53,Serious Injury
12:54,Thursday,Foggy,Car,66.78,Experienced,Side,Highway,Junction,Low,Wet,15.54,Serious Injury
07:56,Sunday,Rainy,Bus,78.54,Novice,Head-on,Highway,Curve,High,Muddy,18.28,Serious Injury
15:29,Monday,Clear,Bus,85.21,Novice,Pedestrian,Rural,Curve,Low,Dry,33.63,Fatal Injury
11:49,Thursday,Snowy,Truck,75.36,Experienced,Vehicle overturn,Urban,Straight,High,Muddy,2.34,Serious Injury
03:02,Tuesday,Rainy,Bicycle,130.79,Novice,Vehicle overturn,Highway,Curve,Medium,Wet,18.55,Fatal Injury
20:55,Saturday,Windy,Bus,51.2,Intermediate,Rear-end,Rural,Curve,Medium,Wet,35.35,Slight Injury
00:46,Friday,Snowy,Motorcycle,40.69,Intermediate,Head-on,Urban,Junction,Low,Wet,8.01,Slight Injury
08:24,Tuesday,Snowy,Truck,138.06,Novice,Head-on,Rural,Straight,Low,Wet,-3.56,Fatal Injury
06:42,Friday,Clear,Truck,139.3,Experienced,Pedestrian,Highway,Straight,High,Dry,25.84,Fatal Injury
19:27,Tuesday,Snowy,Motorcycle,20.82,Novice,Pedestrian,Urban,Straight,Low,Wet,7.44,Slight Injury
09:55,Saturday,Snowy,Truck,58.69,Intermediate,Head-on,Highway,Junction,High,Wet,4.82,Slight Injury
22:40,Wednesday,Snowy,Bus,116.96,Intermediate,Side,Urban,Curve,High,Dry,-1.62,Fatal Injury
09:13,Friday,Foggy,Auto,20.25,Experienced,Rear-end,Highway,Straight,Medium,Muddy,11.51,Slight Injury
01:04,Sunday,Cloudy,Bus,66.5,Intermediate,Pedestrian,Highway,Curve,Medium,Wet,17.83,Serious Injury
19:43,Wednesday,Snowy,Auto,139.88,Intermediate,Pedestrian,Highway,Straight,Low,Muddy,8.13,Fatal Injury
14:47,Thursday,Foggy,Bicycle,65.2,Experienced,Rear-end,Rural,Curve,High,Muddy,17.15,Serious Injury
07:09,Monday,Cloudy,Bicycle,98.36,Intermediate,Pedestrian,Rural,Junction,Medium,Muddy,22.5,Serious Injury
09:59,Saturday,Cloudy,Car,87.66,Intermediate,Side,Urban,Junction,High,Muddy,18.62,Serious Injury
08:33,Saturday,Windy,Bicycle,81.23,Intermediate,Vehicle overturn,Urban,Junction,High,Wet,28.06,Fatal Injury
01:34,Monday,Snowy,Motorcycle,44.12,Novice,Vehicle overturn,Rural,Curve,Low,Wet,9.43,Slight Injury
17:48,Thursday,Snowy,Truck,84.89,Intermediate,Pedestrian,Rural,Curve,Medium,Wet,-1.85,Fatal Injury
00:51,Monday,Cloudy,Motorcycle,64.12,Experienced,Rear-end,Rural,Straight,High,Dry,26.29,Slight Injury
09:51,Tuesday,Snowy,Bus,61.42,Experienced,Side,Highway,Straight,Medium,Dry,4.4,Serious Injury
22:56,Saturday,Foggy,Car,53.97,Novice,Side,Highway,Curve,Low,Wet,16.9,Slight Injury
21:02,Sunday,Rainy,Car,85.59,Intermediate,Side,Urban,Junction,High,Muddy,13.31,Fatal Injury
08:52,Sunday,Windy,Auto,106.72,Experienced,Rear-end,Highway,Straight,High,Muddy,38.42,Fatal Injury
12:42,Thursday,Snowy,Motorcycle,55.84,Novice,Vehicle overturn,Rural,Junction,Low,Dry,2.73,Slight Injury
01:27,Saturday,Windy,Bus,92.27,Experienced,Pedestrian,Rural,Curve,High,Wet,25.38,Serious Injury
17:09,Monday,Windy,Auto,84.41,Experienced,Vehicle overturn,Highway,Straight,Medium,Dry,25.8,Serious Injury
08:13,Sunday,Rainy,Auto,41.14,Novice,Side,Urban,Junction,Low,Muddy,12.28,Slight Injury
16:53,Wednesday,Windy,Bicycle,129.69,Intermediate,Vehicle overturn,Highway,Junction,Medium,Dry,26.18,Fatal Injury
00:40,Sunday,Foggy,Auto,90.94,Experienced,Vehicle overturn,Highway,Junction,High,Dry,13.3,Fatal Injury
05:47,Monday,Cloudy,Truck,71.87,Novice,Head-on,Highway,Straight,Low,Wet,29.83,Serious Injury
15:51,Sunday,Snowy,Bicycle,83.02,Novice,Head-on,Highway,Junction,High,Dry,-1.73,Serious Injury
11:51,Monday,Foggy,Truck,72.35,Novice,Head-on,Rural,Junction,High,Dry,14.74,Serious Injury
04:59,Tuesday,Snowy,Auto,78.55,Experienced,Side,Urban,Junction,Medium,Muddy,-0.07,Serious Injury
14:44,Monday,Cloudy,Auto,61.66,Experienced,Head-on,Urban,Straight,Medium,Muddy,29.92,Serious Injury
12:06,Friday,Foggy,Truck,52.12,Intermediate,Head-on,Rural,Straight,Medium,Wet,12.92,Slight Injury
03:13,Saturday,Foggy,Auto,133.72,Novice,Rear-end,Rural,Straight,Medium,Dry,14.98,Fatal Injury
11:55,Sunday,Snowy,Motorcycle,20.19,Experienced,Head-on,Urban,Straight,High,Muddy,8.07,Slight Injury
07:57,Thursday,Clear,Auto,95.1,Intermediate,Head-on,Highway,Straight,High,Wet,36.11,Serious Injury
20:23,Sunday,Windy,Truck,90.61,Experienced,Head-on,Rural,Junction,Low,Wet,30.27,Fatal Injury
23:05,Monday,Snowy,Motorcycle,72.76,Experienced,Head-on,Rural,Straight,Medium,Muddy,-1.36,Serious Injury
22:42,Thursday,Cloudy,Motorcycle,53.19,Intermediate,Rear-end,Highway,Straight,High,Wet,28.97,Slight Injury
14:56,Monday,Snowy,Bicycle,96.65,Experienced,Pedestrian,Rural,Curve,Low,Dry,1.32,Fatal Injury
18:29,Wednesday,Snowy,Truck,55.39,Intermediate,Pedestrian,Highway,Curve,Low,Muddy,2.78,Slight Injury
02:25,Saturday,Snowy,Auto,23.17,Intermediate,Rear-end,Urban,Curve,Medium,Muddy,1.01,Slight Injury
17:04,Tuesday,Clear,Motorcycle,98.65,Experienced,Rear-end,Highway,Junction,Medium,Wet,39.75,Serious Injury
17:18,Thursday,Foggy,Auto,77.94,Intermediate,Side,Urban,Junction,High,Muddy,10.52,Serious Injury
00:02,Thursday,Clear,Car,24.97,Novice,Vehicle overturn,Rural,Straight,Low,Dry,36.86,Slight Injury
03:05,Tuesday,Cloudy,Bus,56.87,Intermediate,Pedestrian,Urban,Straight,Low,Muddy,24.84,Slight Injury
12:14,Saturday,Clear,Motorcycle,63.31,Experienced,Head-on,Rural,Junction,Low,Wet,34.01,Serious Injury
16:47,Thursday,Snowy,Auto,56.8,Novice,Pedestrian,Urban,Curve,High,Muddy,6.12,Slight Injury
02:36,Sunday,Cloudy,Auto,67.01,Novice,Side,Rural,Junction,Medium,Muddy,15.56,Slight Injury
14:16,Saturday,Cloudy,Bicycle,69.5,Intermediate,Rear-end,Urban,Junction,High,Dry,19.84,Serious Injury
17:25,Monday,Cloudy,Truck,83.59,Intermediate,Rear-end,Highway,Curve,High,Muddy,24.1,Serious Injury
03:54,Sunday,Rainy,Motorcycle,52.54,Novice,Rear-end,Urban,Junction,Medium,Wet,17.34,Slight Injury
20:40,Thursday,Clear,Truck,85.51,Intermediate,Side,Urban,Junction,Medium,Wet,31.46,Serious Injury
23:10,Monday,Snowy,Motorcycle,48.67,Novice,Vehicle overturn,Rural,Straight,Low,Wet,3.71,Slight Injury
08:43,Thursday,Windy,Bus,94.56,Experienced,Rear-end,Urban,Straight,Medium,Muddy,28.25,Serious Injury
05:33,Wednesday,Snowy,Bicycle,27.61,Novice,Vehicle overturn,Rural,Junction,Low,Wet,3.36,Slight Injury
15:28,Friday,Rainy,Bus,67.18,Novice,Rear-end,Urban,Straight,Low,Dry,17.86,Serious Injury
17:45,Thursday,Snowy,Bicycle,131.61,Novice,Rear-end,Highway,Junction,Medium,Wet,2.27,Fatal Injury
14:02,Tuesday,Snowy,Bicycle,51.45,Intermediate,Side,Urban,Junction,Medium,Dry,5.82,Slight Injury
20:37,Monday,Windy,Motorcycle,78.59,Experienced,Rear-end,Urban,Curve,High,Wet,32.64,Serious Injury
18:51,Monday,Snowy,Auto,54.67,Novice,Pedestrian,Rural,Straight,High,Wet,8.27,Slight Injury
08:08,Friday,Rainy,Car,125.89,Intermediate,Rear-end,Highway,Curve,High,Muddy,18.81,Fatal Injury
08:02,Tuesday,Clear,Car,73.34,Experienced,Pedestrian,Rural,Junction,Low,Muddy,37.24,Serious Injury
06:57,Thursday,Foggy,Bicycle,55.89,Novice,Rear-end,Urban,Curve,Low,Muddy,18.12,Slight Injury
05:00,Tuesday,Rainy,Car,111.97,Experienced,Side,Highway,Junction,Low,Muddy,14.79,Fatal Injury
00:49,Saturday,Clear,Motorcycle,76.73,Novice,Pedestrian,Rural,Curve,Low,Muddy,34.87,Serious Injury
20:38,Tuesday,Foggy,Bicycle,94.74,Experienced,Side,Rural,Junction,High,Muddy,15.59,Fatal Injury
17:41,Thursday,Rainy,Bicycle,64.68,Intermediate,Vehicle overturn,Rural,Curve,Low,Dry,11.38,Serious Injury
